tree,MPD,n_leaves
FAM012828.nw,0.34134300450712246,27
FAM013913.nw,0.30452113702645506,28
FAM018874.nw,0.5166769765333333,6
FAM029577.nw,0.1642059776,5
FAM017972.nw,0.6464769402500001,8
FAM017629.nw,0.15381367019999997,6
FAM019976.nw,0.5559861659333334,6
FAM018123.nw,0.5984541642857144,7
FAM031018.nw,0.43306399149999997,9
FAM018348.nw,0.49082187024999996,8
FAM021454.nw,0.2885063161785714,8
FAM016771.nw,0.07328102603384615,26
FAM005398.nw,0.5605782016190476,7
FAM019818.nw,0.2630189140659341,14
FAM015248.nw,0.6101272233888888,28
FAM030098.nw,0.17361846200000003,5
FAM033931.nw,0.6881146674666666,6
FAM000271.nw,0.29968298504761903,7
FAM014132.nw,0.1650000752168067,35
FAM021835.nw,0.9165655563999999,6
FAM012983.nw,0.262516282,5
FAM004912.nw,0.06997450599999999,5
FAM021470.nw,0.18504852552380954,15
FAM016016.nw,0.732655637969697,12
FAM011022.nw,0.28494733355681817,33
FAM017613.nw,0.29242746333333336,6
FAM017931.nw,0.005419363714285714,14
FAM021172.nw,1.0979131301785714,8
FAM022314.nw,0.7643538108571428,7
FAM011006.nw,0.5648856835490197,18
FAM023241.nw,0.21246783799999996,5
FAM019082.nw,0.5788279100000001,5
FAM016150.nw,0.46580413990114933,30
FAM007007.nw,0.2049317761904762,7
FAM014227.nw,0.9357032255619047,15
FAM004920.nw,0.04267595542857143,7
FAM012260.nw,0.4633318262307692,14
FAM031478.nw,0.8363020839333333,6
FAM022339.nw,1.1396790572666669,10
FAM021335.nw,0.13354760153333334,10
FAM011707.nw,0.1701515112,6
FAM008509.nw,0.5118587985024631,29
FAM022553.nw,0.46495596426666663,6
FAM018162.nw,0.14584693880000002,5
FAM020101.nw,0.23368420120512814,13
FAM019389.nw,0.6630537844,5
FAM007717.nw,0.04975204625853659,41
FAM026912.nw,0.2092224892,5
FAM018149.nw,0.0495903356,5
FAM020415.nw,0.3164892084,5
FAM019449.nw,0.3804420558666667,6
FAM004001.nw,0.08329421285747127,30
FAM018294.nw,0.30217549239999997,5
FAM001137.nw,0.21056055690909092,33
FAM008177.nw,0.33467683559999994,6
FAM011081.nw,0.04102914279047619,36
FAM007425.nw,0.12868362445846154,26
FAM021329.nw,0.4182358775238096,7
FAM009298.nw,0.0694018659159664,35
FAM020197.nw,0.25801973619999996,5
FAM022464.nw,0.055673543,6
FAM015517.nw,0.15383413836363635,34
FAM009074.nw,0.7203198768733333,25
FAM024116.nw,0.19387659620000003,5
FAM019812.nw,0.10560184333333332,6
FAM022584.nw,0.4212530399285715,8
